,schoolcode,totalenrolled,white,black,hispanic,lowincome,dropout,year,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,countycode,districtcode,state,year_21
0,010010010260001,226,97.8,0.4,0.4,44.2,0.7,2017,173099003226,0.0,0.0,1.0,0.0,0,0100il,01001001026il,il,0
1,010010010260001,246,96.7,0.0,0.0,43.9,0.0,2018,173099003226,0.0,0.0,1.0,0.0,0,0100il,01001001026il,il,0
2,010010010260001,239,95.4,0.0,0.4,46.4,0.6,2019,173099003226,0.0,0.0,1.0,0.0,0,0100il,01001001026il,il,0
3,010010010260001,241,96.3,0.0,0.0,36.9,4.6,2021,173099003226,0.0,0.0,1.0,0.0,0,0100il,01001001026il,il,1
4,010010020260001,277,98.2,0.7,0.4,20.9,0.0,2017,172277002524,0.0,0.0,1.0,0.0,0,0100il,01001002026il,il,0
5,010010020260001,281,98.6,0.0,0.0,22.4,0.5,2018,172277002524,0.0,0.0,1.0,0.0,0,0100il,01001002026il,il,0
6,010010020260001,288,97.6,0.3,0.0,20.5,3.0,2019,172277002524,0.0,0.0,1.0,0.0,0,0100il,01001002026il,il,0
7,010010020260001,270,95.2,0.0,0.0,22.2,2.2,2021,172277002524,0.1,0.0,0.9,0.05,0,0100il,01001002026il,il,1
8,010010030260001,241,96.7,0.0,0.0,36.9,0.8,2017,170822000431,0.0,0.0,1.0,0.0,0,0100il,01001003026il,il,0
9,010010030260001,245,96.3,0.0,0.0,42.0,1.2,2018,170822000431,0.0,0.0,1.0,0.0,0,0100il,01001003026il,il,0
10,010010030260001,237,98.3,0.0,0.0,42.2,3.7,2019,170822000431,0.0,0.0,1.0,0.0,0,0100il,01001003026il,il,0
11,010010030260001,257,96.9,0.0,0.0,39.3,2.7,2021,170822000431,0.0,0.0,1.0,0.0,0,0100il,01001003026il,il,1
12,010010040260001,228,97.4,0.4,1.3,28.1,0.4,2017,172559002771,0.0,0.0,1.0,0.0,0,0100il,01001004026il,il,0
13,010010040260001,209,99.0,0.0,0.0,27.3,0.0,2018,172559002771,0.0,0.0,1.0,0.0,0,0100il,01001004026il,il,0
14,010010040260001,200,98.5,0.0,1.0,34.0,1.5,2019,172559002771,0.0,0.0,1.0,0.0,0,0100il,01001004026il,il,0
15,010010040260001,176,96.6,0.0,0.0,34.7,3.4,2021,172559002771,0.3,0.1,0.6,0.25,0,0100il,01001004026il,il,1
16,010011720220003,1873,84.6,7.5,2.6,45.4,1.9,2017,173300005053,0.0,0.0,1.0,0.0,0,0100il,01001172022il,il,0
17,010011720220003,1753,82.3,7.8,2.6,50.3,1.8,2018,173300005053,0.0,0.0,1.0,0.0,0,0100il,01001172022il,il,0
18,010011720220003,1742,81.7,6.7,3.5,48.7,2.4,2019,173300005053,0.0,0.0,1.0,0.0,0,0100il,01001172022il,il,0
19,010011720220003,1852,79.9,6.9,3.3,46.1,5.5,2021,173300005053,1.0,0.0,0.0,0.5,0,0100il,01001172022il,il,1
20,010050010260001,184,96.2,0.0,1.1,37.0,1.6,2017,172730002893,0.0,0.0,1.0,0.0,0,0100il,01005001026il,il,0
21,010050010260001,195,95.9,0.0,0.0,42.6,1.0,2018,172730002893,0.0,0.0,1.0,0.0,0,0100il,01005001026il,il,0
22,010050010260001,201,96.0,0.5,1.5,38.8,2.4,2019,172730002893,0.0,0.0,1.0,0.0,0,0100il,01005001026il,il,0
23,010050010260001,216,96.8,0.0,0.0,35.6,5.1,2021,172730002893,0.8,0.1,0.1,0.5,0,0100il,01005001026il,il,1
24,010090150260007,838,38.4,8.9,50.2,78.2,0.5,2017,170531000216,0.0,0.0,1.0,0.0,0,0100il,01009015026il,il,0
25,010090150260007,891,38.6,10.2,49.2,72.4,2.4,2018,170531000216,0.0,0.0,1.0,0.0,0,0100il,01009015026il,il,0
26,010090150260007,896,36.9,10.0,51.7,78.2,8.1,2019,170531000216,0.0,0.0,1.0,0.0,0,0100il,01009015026il,il,0
27,010090150260007,837,32.1,10.8,54.1,70.3,5.7,2021,170531000216,0.9,0.1,0.0,0.55,0,0100il,01009015026il,il,1
28,010090640260003,138,94.9,0.0,4.3,44.2,1.4,2017,174041004070,0.0,0.0,1.0,0.0,0,0100il,01009064026il,il,0
29,010090640260003,135,93.3,0.0,0.0,48.1,1.6,2018,174041004070,0.0,0.0,1.0,0.0,0,0100il,01009064026il,il,0
30,010090640260003,145,92.4,0.0,4.8,50.3,3.8,2019,174041004070,0.0,0.0,1.0,0.0,0,0100il,01009064026il,il,0
31,010090640260003,142,90.8,0.0,0.0,50.0,10.5,2021,174041004070,1.0,0.0,0.0,0.5,0,0100il,01009064026il,il,1
32,010092620260002,137,92.7,2.9,2.9,48.2,2.9,2017,170010505357,0.0,0.0,1.0,0.0,0,0100il,01009262026il,il,0
33,010092620260002,141,95.0,0.0,0.0,46.8,0.7,2018,170010505357,0.0,0.0,1.0,0.0,0,0100il,01009262026il,il,0
34,010092620260002,129,98.4,0.0,1.6,41.1,3.6,2019,170010505357,0.0,0.0,1.0,0.0,0,0100il,01009262026il,il,0
35,010092620260002,123,98.4,0.0,0.0,46.3,2.3,2021,170010505357,0.2,0.0,0.8,0.1,0,0100il,01009262026il,il,1
36,010690010260001,151,94.0,0.0,0.7,42.4,0.0,2017,171575001885,0.0,0.0,1.0,0.0,0,0106il,01069001026il,il,0
37,010690010260001,147,92.5,0.0,0.0,36.7,3.7,2018,171575001885,0.0,0.0,1.0,0.0,0,0106il,01069001026il,il,0
38,010690010260001,217,94.9,0.5,0.0,33.2,4.8,2019,171575001885,0.0,0.0,1.0,0.0,0,0106il,01069001026il,il,0
39,010690010260001,169,95.9,0.0,0.0,27.2,1.1,2021,171575001885,0.7,0.0,0.3,0.35,0,0106il,01069001026il,il,1
40,010690060260001,171,97.1,0.6,0.0,31.0,3.5,2017,174128004145,0.0,0.0,1.0,0.0,0,0106il,01069006026il,il,0
41,010690060260001,172,96.5,0.0,0.0,28.5,2.8,2018,174128004145,0.0,0.0,1.0,0.0,0,0106il,01069006026il,il,0
42,010690060260001,165,95.8,1.2,0.6,38.2,1.7,2019,174128004145,0.0,0.0,1.0,0.0,0,0106il,01069006026il,il,0
43,010690060260001,145,94.5,0.0,0.0,44.1,1.9,2021,174128004145,0.6,0.0,0.4,0.3,0,0106il,01069006026il,il,1
44,010690110260001,51,100.0,0.0,0.0,51.0,0.0,2017,172568002776,0.0,0.0,1.0,0.0,0,0106il,01069011026il,il,0
45,010690110260001,53,100.0,0.0,0.0,56.6,0.0,2018,172568002776,0.0,0.0,1.0,0.0,0,0106il,01069011026il,il,0
46,010690110260001,47,97.9,0.0,0.0,51.1,5.6,2019,172568002776,0.0,0.0,1.0,0.0,0,0106il,01069011026il,il,0
47,010690110260001,47,95.7,0.0,0.0,63.8,9.6,2021,172568002776,0.9,0.0,0.1,0.45,0,0106il,01069011026il,il,1
48,010690270260001,146,93.8,0.0,1.4,32.2,0.0,2017,171083001324,0.0,0.0,1.0,0.0,0,0106il,01069027026il,il,0
49,010690270260001,164,94.5,0.0,0.0,36.6,0.0,2018,171083001324,0.0,0.0,1.0,0.0,0,0106il,01069027026il,il,0
50,010690270260001,180,93.3,0.0,2.8,37.2,0.8,2019,171083001324,0.0,0.0,1.0,0.0,0,0106il,01069027026il,il,0
51,010690270260001,190,93.2,0.0,0.0,32.1,1.8,2021,171083001324,0.0,0.0,1.0,0.0,0,0106il,01069027026il,il,1
52,010691170220014,1007,82.0,6.1,2.9,48.1,3.5,2017,172028002280,0.0,0.0,1.0,0.0,0,0106il,01069117022il,il,0
53,010691170220014,986,79.5,7.5,3.3,47.4,6.7,2018,172028002280,0.0,0.0,1.0,0.0,0,0106il,01069117022il,il,0
54,010691170220014,970,78.5,7.2,3.4,47.8,11.7,2019,172028002280,0.0,0.0,1.0,0.0,0,0106il,01069117022il,il,0
55,010691170220014,916,77.6,8.8,3.4,47.4,8.2,2021,172028002280,0.0,0.0,1.0,0.0,0,0106il,01069117022il,il,1
56,010750030260002,79,98.7,1.3,0.0,49.4,3.8,2017,173189003346,0.0,0.0,1.0,0.0,0,0107il,01075003026il,il,0
57,010750030260002,77,98.7,0.0,0.0,49.4,5.2,2018,173189003346,0.0,0.0,1.0,0.0,0,0107il,01075003026il,il,0
58,010750030260002,74,100.0,0.0,0.0,60.8,9.9,2019,173189003346,0.0,0.0,1.0,0.0,0,0107il,01075003026il,il,0
59,010750030260002,93,98.9,0.0,0.0,59.1,5.5,2021,173189003346,0.27,0.0,0.73,0.14,0,0107il,01075003026il,il,1
60,010750040260002,115,97.4,0.0,0.0,60.0,3.5,2017,171779002073,0.0,0.0,1.0,0.0,0,0107il,01075004026il,il,0
61,010750040260002,101,93.1,0.0,0.0,65.3,8.0,2018,171779002073,0.0,0.0,1.0,0.0,0,0107il,01075004026il,il,0
62,010750040260002,84,95.2,4.8,0.0,100.0,8.3,2019,171779002073,0.0,0.0,1.0,0.0,0,0107il,01075004026il,il,0
63,010750040260002,95,100.0,0.0,0.0,0.0,7.5,2021,171779002073,0.3,0.0,0.7,0.15,0,0107il,01075004026il,il,1
64,010750100260009,316,98.4,0.6,0.3,42.7,2.2,2017,173171003332,0.0,0.0,1.0,0.0,0,0107il,01075010026il,il,0
65,010750100260009,336,97.3,0.0,0.0,40.2,1.8,2018,173171003332,0.0,0.0,1.0,0.0,0,0107il,01075010026il,il,0
66,010750100260009,323,96.9,0.6,1.2,36.5,4.6,2019,173171003332,0.0,0.0,1.0,0.0,0,0107il,01075010026il,il,0
67,010750100260009,323,97.8,0.0,0.0,38.1,5.8,2021,173171003332,0.9,0.0,0.1,0.45,0,0107il,01075010026il,il,1
68,010750120260001,142,95.8,0.0,1.4,52.1,1.4,2017,170138705910,0.0,0.0,1.0,0.0,0,0107il,01075012026il,il,0
69,010750120260001,146,94.5,0.0,0.0,55.5,0.7,2018,170138705910,0.0,0.0,1.0,0.0,0,0107il,01075012026il,il,0
70,010750120260001,140,95.7,0.0,1.4,62.1,5.2,2019,170138705910,0.0,0.0,1.0,0.0,0,0107il,01075012026il,il,0
71,010750120260001,124,96.8,0.0,0.0,50.8,6.5,2021,170138705910,0.7,0.0,0.3,0.35,0,0107il,01075012026il,il,1
72,010860010260001,185,98.4,0.0,0.0,37.3,1.6,2017,174266004288,0.0,0.0,1.0,0.0,0,0108il,01086001026il,il,0
73,010860010260001,178,98.3,0.0,0.0,40.4,0.0,2018,174266004288,0.0,0.0,1.0,0.0,0,0108il,01086001026il,il,0
74,010860010260001,182,97.3,0.0,1.6,37.4,2.2,2019,174266004288,0.0,0.0,1.0,0.0,0,0108il,01086001026il,il,0
75,010860010260001,165,97.6,0.0,0.0,46.1,2.8,2021,174266004288,0.6,0.0,0.4,0.3,0,0108il,01086001026il,il,1
76,010860020260001,58,100.0,0.0,0.0,48.3,0.0,2017,170660000348,0.0,0.0,1.0,0.0,0,0108il,01086002026il,il,0
77,010860020260001,64,100.0,0.0,0.0,53.1,0.0,2018,170660000348,0.0,0.0,1.0,0.0,0,0108il,01086002026il,il,0
78,010860020260001,64,96.9,0.0,1.6,51.6,1.5,2019,170660000348,0.0,0.0,1.0,0.0,0,0108il,01086002026il,il,0
79,010860020260001,73,91.8,0.0,0.0,54.8,0.0,2021,170660000348,0.4,0.0,0.6,0.2,0,0108il,01086002026il,il,1
80,030030010260001,104,90.4,5.8,1.9,35.6,1.9,2017,172745002912,0.0,0.0,1.0,0.0,0,0300il,03003001026il,il,0
81,030030010260001,108,88.9,0.0,0.0,41.7,0.9,2018,172745002912,0.0,0.0,1.0,0.0,0,0300il,03003001026il,il,0
82,030030010260001,121,92.6,1.7,2.5,42.1,6.1,2019,172745002912,0.0,0.0,1.0,0.0,0,0300il,03003001026il,il,0
83,030030010260001,111,90.1,0.0,0.0,55.0,2.6,2021,172745002912,0.4,0.0,0.6,0.2,0,0300il,03003001026il,il,1
84,030030020260001,537,89.0,3.7,2.4,39.1,1.5,2017,171773002067,0.0,0.0,1.0,0.0,0,0300il,03003002026il,il,0
85,030030020260001,524,90.3,2.3,2.1,36.1,1.1,2018,171773002067,0.0,0.0,1.0,0.0,0,0300il,03003002026il,il,0
86,030030020260001,539,90.2,2.2,1.7,36.4,2.9,2019,171773002067,0.0,0.0,1.0,0.0,0,0300il,03003002026il,il,0
87,030030020260001,547,90.7,0.0,0.0,43.3,2.7,2021,171773002067,0.9,0.0,0.1,0.45,0,0300il,03003002026il,il,1
88,030110010260002,91,100.0,0.0,0.0,13.2,0.0,2017,172676002858,0.0,0.0,1.0,0.0,0,0301il,03011001026il,il,0
89,030110010260002,90,98.9,0.0,0.0,17.8,5.6,2018,172676002858,0.0,0.0,1.0,0.0,0,0301il,03011001026il,il,0
90,030110010260002,80,96.3,0.0,1.3,26.3,3.6,2019,172676002858,0.0,0.0,1.0,0.0,0,0301il,03011001026il,il,0
91,030110010260002,89,93.3,0.0,0.0,43.8,1.1,2021,172676002858,0.1,0.0,0.9,0.05,0,0301il,03011001026il,il,1
92,030110030260006,778,95.0,0.5,1.4,44.7,2.6,2017,173870003938,0.0,0.0,1.0,0.0,0,0301il,03011003026il,il,0
93,030110030260006,761,95.5,0.0,1.3,41.5,1.3,2018,173870003938,0.0,0.0,1.0,0.0,0,0301il,03011003026il,il,0
94,030110030260006,755,93.6,0.3,1.7,43.7,5.5,2019,173870003938,0.0,0.0,1.0,0.0,0,0301il,03011003026il,il,0
95,030110030260006,761,93.2,0.0,1.7,41.0,1.7,2021,173870003938,0.6,0.3,0.1,0.6,0,0301il,03011003026il,il,1
96,030110040260002,82,97.6,0.0,0.0,24.4,0.0,2017,171341001632,0.0,0.0,1.0,0.0,0,0301il,03011004026il,il,0
97,030110040260002,84,96.4,0.0,0.0,38.1,1.2,2018,171341001632,0.0,0.0,1.0,0.0,0,0301il,03011004026il,il,0
98,030110040260002,75,96.0,0.0,2.7,38.7,3.7,2019,171341001632,0.0,0.0,1.0,0.0,0,0301il,03011004026il,il,0
99,030110040260002,76,97.4,0.0,0.0,42.1,4.0,2021,171341001632,0.4,0.2,0.4,0.4,0,0301il,03011004026il,il,1
100,030110080260006,407,97.5,0.0,0.5,47.7,0.7,2017,173063003186,0.0,0.0,1.0,0.0,0,0301il,03011008026il,il,0
101,030110080260006,399,97.0,0.0,0.0,51.9,1.5,2018,173063003186,0.0,0.0,1.0,0.0,0,0301il,03011008026il,il,0
102,030110080260006,394,96.7,0.0,1.0,55.8,4.0,2019,173063003186,0.0,0.0,1.0,0.0,0,0301il,03011008026il,il,0
103,030110080260006,394,94.2,0.0,0.0,50.0,6.5,2021,173063003186,0.7,0.0,0.3,0.35,0,0301il,03011008026il,il,1
104,030110140240001,163,93.3,0.6,2.5,60.1,1.1,2017,173664005069,0.0,0.0,1.0,0.0,0,0301il,03011014024il,il,0
105,030110140240001,167,92.2,0.0,0.0,56.3,2.2,2018,173664005069,0.0,0.0,1.0,0.0,0,0301il,03011014024il,il,0
106,030110140240001,151,91.4,0.0,3.3,57.6,3.3,2019,173664005069,0.0,0.0,1.0,0.0,0,0301il,03011014024il,il,0
107,030110140240001,141,91.5,0.0,0.0,57.4,1.2,2021,173664005069,0.3,0.0,0.7,0.15,0,0301il,03011014024il,il,1
108,030250100260001,258,97.7,0.8,0.4,41.1,2.7,2017,170351000034,0.0,0.0,1.0,0.0,0,0302il,03025010026il,il,0
109,030250100260001,224,98.2,0.0,0.0,41.5,1.3,2018,170351000034,0.0,0.0,1.0,0.0,0,0302il,03025010026il,il,0
110,030250100260001,224,97.8,1.3,0.4,37.5,4.9,2019,170351000034,0.0,0.0,1.0,0.0,0,0302il,03025010026il,il,0
111,030250100260001,245,95.9,0.0,0.0,44.5,2.2,2021,170351000034,0.1,0.0,0.9,0.05,0,0302il,03025010026il,il,1
112,030250200260001,159,95.6,0.0,3.8,49.1,3.3,2017,170546000225,0.0,0.0,1.0,0.0,0,0302il,03025020026il,il,0
113,030250200260001,150,98.0,0.0,0.0,44.0,0.0,2018,170546000225,0.0,0.0,1.0,0.0,0,0302il,03025020026il,il,0
114,030250200260001,157,96.8,0.0,1.3,41.4,1.1,2019,170546000225,0.0,0.0,1.0,0.0,0,0302il,03025020026il,il,0
115,030250200260001,161,94.4,0.0,0.0,98.8,4.0,2021,170546000225,0.1,0.0,0.9,0.05,0,0302il,03025020026il,il,1
116,030250300260001,173,98.8,0.0,0.0,34.1,0.9,2017,171224001477,0.0,0.0,1.0,0.0,0,0302il,03025030026il,il,0
117,030250300260001,190,97.9,0.0,0.0,31.6,0.0,2018,171224001477,0.0,0.0,1.0,0.0,0,0302il,03025030026il,il,0
118,030250300260001,194,97.9,0.0,1.0,21.1,1.7,2019,171224001477,0.0,0.0,1.0,0.0,0,0302il,03025030026il,il,0
119,030250300260001,211,96.7,0.0,0.0,18.5,2.2,2021,171224001477,0.0,0.0,1.0,0.0,0,0302il,03025030026il,il,1
120,030250400260001,715,93.8,0.6,3.1,30.6,1.1,2017,171356001648,0.0,0.0,1.0,0.0,0,0302il,03025040026il,il,0
121,030250400260001,737,92.4,0.0,3.5,36.4,1.6,2018,171356001648,0.0,0.0,1.0,0.0,0,0302il,03025040026il,il,0
122,030250400260001,715,91.3,1.1,3.5,33.4,5.9,2019,171356001648,0.0,0.0,1.0,0.0,0,0302il,03025040026il,il,0
123,030250400260001,742,88.5,0.0,5.1,32.6,5.0,2021,171356001648,0.0,0.0,1.0,0.0,0,0302il,03025040026il,il,1
124,030250500260001,337,99.7,0.3,0.0,10.1,0.0,2017,173876003944,0.0,0.0,1.0,0.0,0,0302il,03025050026il,il,0
125,030250500260001,316,99.7,0.0,0.0,7.6,0.3,2018,173876003944,0.0,0.0,1.0,0.0,0,0302il,03025050026il,il,0
126,030250500260001,334,98.8,0.3,0.3,2.1,0.9,2019,173876003944,0.0,0.0,1.0,0.0,0,0302il,03025050026il,il,0
127,030250500260001,326,98.5,0.0,0.0,8.6,0.6,2021,173876003944,0.3,0.0,0.7,0.15,0,0302il,03025050026il,il,1
128,030262010260003,95,92.6,0.0,3.2,43.2,1.1,2017,170744000383,0.0,0.0,1.0,0.0,0,0302il,03026201026il,il,0
129,030262010260003,75,92.0,0.0,0.0,52.0,0.0,2018,170744000383,0.0,0.0,1.0,0.0,0,0302il,03026201026il,il,0
130,030262010260003,80,92.5,0.0,2.5,58.8,5.1,2019,170744000383,0.0,0.0,1.0,0.0,0,0302il,03026201026il,il,0
131,030262010260003,75,97.3,0.0,0.0,48.0,4.8,2021,170744000383,0.6,0.0,0.4,0.3,0,0302il,03026201026il,il,1
132,030262020260002,124,95.2,0.0,0.8,41.1,1.6,2017,173723003864,0.0,0.0,1.0,0.0,0,0302il,03026202026il,il,0
133,030262020260002,119,95.8,0.0,0.0,42.0,0.0,2018,173723003864,0.0,0.0,1.0,0.0,0,0302il,03026202026il,il,0
134,030262020260002,110,97.3,1.8,0.9,46.4,9.4,2019,173723003864,0.0,0.0,1.0,0.0,0,0302il,03026202026il,il,0
135,030262020260002,121,92.6,0.0,0.0,42.1,4.1,2021,173723003864,0.8,0.0,0.2,0.4,0,0302il,03026202026il,il,1
136,030262030260001,423,95.3,0.2,1.2,49.6,1.4,2017,174014004044,0.0,0.0,1.0,0.0,0,0302il,03026203026il,il,0
137,030262030260001,429,94.6,0.0,2.6,50.8,0.2,2018,174014004044,0.0,0.0,1.0,0.0,0,0302il,03026203026il,il,0
138,030262030260001,407,94.3,0.7,2.5,50.4,3.9,2019,174014004044,0.0,0.0,1.0,0.0,0,0302il,03026203026il,il,0
139,030262030260001,397,95.5,0.0,0.0,54.2,3.5,2021,174014004044,0.7,0.0,0.3,0.35,0,0302il,03026203026il,il,1
140,030262040260002,232,99.1,0.4,0.4,62.5,2.3,2017,173309003435,0.0,0.0,1.0,0.0,0,0302il,03026204026il,il,0
141,030262040260002,250,98.8,0.0,0.0,48.4,4.9,2018,173309003435,0.0,0.0,1.0,0.0,0,0302il,03026204026il,il,0
142,030262040260002,231,99.6,0.0,0.4,55.0,0.7,2019,173309003435,0.0,0.0,1.0,0.0,0,0302il,03026204026il,il,0
143,030262040260002,230,98.3,0.0,0.0,55.7,0.7,2021,173309003435,0.1,0.0,0.9,0.05,0,0302il,03026204026il,il,1
144,030680020260001,145,95.9,1.4,0.7,42.8,1.4,2017,173066003190,0.0,0.0,1.0,0.0,0,0306il,03068002026il,il,0
145,030680020260001,146,97.3,0.0,0.0,46.6,2.7,2018,173066003190,0.0,0.0,1.0,0.0,0,0306il,03068002026il,il,0
146,030680020260001,146,97.3,0.0,0.7,50.7,6.1,2019,173066003190,0.0,0.0,1.0,0.0,0,0306il,03068002026il,il,0
147,030680020260001,140,94.3,0.0,0.0,42.9,1.4,2021,173066003190,0.4,0.0,0.6,0.2,0,0306il,03068002026il,il,1
148,030680030260001,498,94.6,1.6,2.4,43.6,2.2,2017,171920002206,0.0,0.0,1.0,0.0,0,0306il,03068003026il,il,0
149,030680030260001,519,94.0,0.0,0.0,38.3,3.7,2018,171920002206,0.0,0.0,1.0,0.0,0,0306il,03068003026il,il,0
150,030680030260001,484,93.0,1.4,2.9,35.5,5.2,2019,171920002206,0.0,0.0,1.0,0.0,0,0306il,03068003026il,il,0
151,030680030260001,452,93.6,0.0,2.4,39.2,3.1,2021,171920002206,0.0,0.0,1.0,0.0,0,0306il,03068003026il,il,1
152,030680120260001,420,93.3,1.0,1.9,52.6,1.0,2017,172325002560,0.0,0.0,1.0,0.0,0,0306il,03068012026il,il,0
153,030680120260001,395,93.2,0.0,0.0,49.9,1.3,2018,172325002560,0.0,0.0,1.0,0.0,0,0306il,03068012026il,il,0
154,030680120260001,389,93.3,1.3,2.3,57.8,6.5,2019,172325002560,0.0,0.0,1.0,0.0,0,0306il,03068012026il,il,0
155,030680120260001,415,90.8,0.0,4.1,51.6,4.5,2021,172325002560,0.6,0.0,0.4,0.3,0,0306il,03068012026il,il,1
156,030680220260001,296,97.0,0.0,0.3,43.9,0.0,2017,172856002990,0.0,0.0,1.0,0.0,0,0306il,03068022026il,il,0
157,030680220260001,304,96.1,0.0,0.0,43.4,0.6,2018,172856002990,0.0,0.0,1.0,0.0,0,0306il,03068022026il,il,0
158,030680220260001,299,94.6,0.0,2.3,40.5,0.5,2019,172856002990,0.0,0.0,1.0,0.0,0,0306il,03068022026il,il,0
159,030680220260001,298,95.3,0.0,0.0,37.9,1.7,2021,172856002990,0.0,0.0,1.0,0.0,0,0306il,03068022026il,il,1
160,040041000260001,1263,49.1,2.8,44.4,52.3,0.6,2017,170579000255,0.0,0.0,1.0,0.0,0,0400il,04004100026il,il,0
161,040041000260001,1245,47.4,3.0,45.5,48.6,1.2,2018,170579000255,0.0,0.0,1.0,0.0,0,0400il,04004100026il,il,0
162,040041000260001,1214,47.0,2.6,46.3,57.6,5.4,2019,170579000255,0.0,0.0,1.0,0.0,0,0400il,04004100026il,il,0
163,040041000260001,1245,45.5,2.2,48.0,43.2,3.7,2021,170579000255,0.5,0.4,0.1,0.65,0,0400il,04004100026il,il,1
164,040041000260002,1505,64.3,3.5,27.4,37.6,0.9,2017,170579005909,0.0,0.0,1.0,0.0,0,0400il,04004100026il,il,0
165,040041000260002,1515,63.4,3.5,29.0,32.7,1.1,2018,170579005909,0.0,0.0,1.0,0.0,0,0400il,04004100026il,il,0
166,040041000260002,1432,62.3,3.8,29.4,35.2,3.0,2019,170579005909,0.0,0.0,1.0,0.0,0,0400il,04004100026il,il,0
167,040041000260002,1418,63.4,3.9,28.8,28.2,2.5,2021,170579005909,0.5,0.4,0.1,0.65,0,0400il,04004100026il,il,1
168,040042000260003,524,67.2,1.5,25.8,48.9,0.6,2017,172870003013,0.0,0.0,1.0,0.0,0,0400il,04004200026il,il,0
169,040042000260003,503,69.8,0.0,23.7,45.3,0.6,2018,172870003013,0.0,0.0,1.0,0.0,0,0400il,04004200026il,il,0
170,040042000260003,478,69.2,1.5,23.2,41.6,2.4,2019,172870003013,0.0,0.0,1.0,0.0,0,0400il,04004200026il,il,0
171,040042000260003,469,62.7,0.0,27.5,36.9,3.8,2021,172870003013,0.0,0.0,1.0,0.0,0,0400il,04004200026il,il,1
172,041011220220002,2093,75.6,4.5,12.1,52.7,1.2,2017,171824002100,0.0,0.0,1.0,0.0,0,0410il,04101122022il,il,0
173,041011220220002,1529,74.6,5.0,12.3,49.2,2.3,2018,171824002100,0.0,0.0,1.0,0.0,0,0410il,04101122022il,il,0
174,041011220220002,1533,73.5,4.3,13.3,50.1,5.5,2019,171824002100,0.0,0.0,1.0,0.0,0,0410il,04101122022il,il,0
175,041011220220002,1953,69.6,5.9,14.5,45.4,3.7,2021,171824002100,0.82,0.0,0.18,0.41,0,0410il,04101122022il,il,1
176,041012050250001,1859,28.8,42.7,18.8,49.0,5.2,2017,173451003599,0.0,0.0,1.0,0.0,0,0410il,04101205025il,il,0
177,041012050250001,1805,28.8,41.5,19.3,53.2,4.9,2018,173451003599,0.0,0.0,1.0,0.0,0,0410il,04101205025il,il,0
178,041012050250001,1818,28.5,41.1,19.7,61.6,9.5,2019,173451003599,0.0,0.0,1.0,0.0,0,0410il,04101205025il,il,0
179,041012050250001,1756,28.2,40.8,19.3,57.8,14.3,2021,173451003599,0.5,0.1,0.4,0.35,0,0410il,04101205025il,il,1
180,041012050250002,1990,33.2,23.3,27.6,48.3,7.5,2017,173451003600,0.0,0.0,1.0,0.0,0,0410il,04101205025il,il,0
181,041012050250002,1864,31.8,25.9,27.0,54.7,4.5,2018,173451003600,0.0,0.0,1.0,0.0,0,0410il,04101205025il,il,0
182,041012050250002,1799,29.7,27.7,27.5,65.5,8.3,2019,173451003600,0.0,0.0,1.0,0.0,0,0410il,04101205025il,il,0
183,041012050250002,1520,29.0,28.0,29.7,62.9,10.6,2021,173451003600,0.6,0.1,0.3,0.4,0,0410il,04101205025il,il,1
184,041012050250003,1721,37.1,23.6,30.4,37.4,3.0,2017,173451003577,0.0,0.0,1.0,0.0,0,0410il,04101205025il,il,0
185,041012050250003,1744,37.0,23.5,29.5,39.9,2.5,2018,173451003577,0.0,0.0,1.0,0.0,0,0410il,04101205025il,il,0
186,041012050250003,1786,37.7,24.4,26.8,50.8,6.5,2019,173451003577,0.0,0.0,1.0,0.0,0,0410il,04101205025il,il,0
187,041012050250003,1805,39.7,24.2,23.5,46.7,5.9,2021,173451003577,0.6,0.1,0.3,0.4,0,0410il,04101205025il,il,1
188,041012050250004,1629,28.6,23.2,41.0,50.5,4.7,2017,173451003585,0.0,0.0,1.0,0.0,0,0410il,04101205025il,il,0
