year,mergecode,totalenroll,white,black,hispanic,lowincome,mathpass,totaltest,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,districtcode,state,year_21
,010010010260001,226,97.8,0.4,0.4,44.2,42.5,117,173099003226,0.0,0.0,1.0,0.0,0,01001001026il,il,0
,010010010260001,246,96.7,0.0,0.0,43.9,31.5,35,173099003226,0.0,0.0,1.0,0.0,0,01001001026il,il,0
,010010010260001,239,95.4,0.0,0.4,46.4,14.7,34,173099003226,0.0,0.0,1.0,0.0,0,01001001026il,il,0
,010010010260001,241,96.3,0.0,0.0,36.9,19.5,41,173099003226,0.0,0.0,1.0,0.0,0,01001001026il,il,1
,010010020260001,277,98.2,0.7,0.4,20.9,37.8,128,172277002524,0.0,0.0,1.0,0.0,0,01001002026il,il,0
,010010020260001,281,98.6,0.0,0.0,22.4,26.0,46,172277002524,0.0,0.0,1.0,0.0,0,01001002026il,il,0
,010010020260001,288,97.6,0.3,0.0,20.5,42.9,49,172277002524,0.0,0.0,1.0,0.0,0,01001002026il,il,0
,010010020260001,270,95.2,0.0,0.0,22.2,37.8,45,172277002524,0.1,0.0,0.9,0.05,0,01001002026il,il,1
,010010030260001,241,96.7,0.0,0.0,36.9,18.3,61,170822000431,0.0,0.0,1.0,0.0,0,01001003026il,il,0
,010010030260001,245,96.3,0.0,0.0,42.0,28.8,52,170822000431,0.0,0.0,1.0,0.0,0,01001003026il,il,0
,010010030260001,237,98.3,0.0,0.0,42.2,21.7,60,170822000431,0.0,0.0,1.0,0.0,0,01001003026il,il,0
,010010030260001,257,96.9,0.0,0.0,39.3,24.5,49,170822000431,0.0,0.0,1.0,0.0,0,01001003026il,il,1
,010010040260001,228,97.4,0.4,1.3,28.1,25.9,54,172559002771,0.0,0.0,1.0,0.0,0,01001004026il,il,0
,010010040260001,209,99.0,0.0,0.0,27.3,26.8,56,172559002771,0.0,0.0,1.0,0.0,0,01001004026il,il,0
,010010040260001,200,98.5,0.0,1.0,34.0,16.3,49,172559002771,0.0,0.0,1.0,0.0,0,01001004026il,il,0
,010010040260001,176,96.6,0.0,0.0,34.7,10.2,39,172559002771,0.3,0.1,0.6,0.25,0,01001004026il,il,1
,010011720220003,1873,84.6,7.5,2.6,45.4,26.4,416,173300005053,0.0,0.0,1.0,0.0,0,01001172022il,il,0
,010011720220003,1753,82.3,7.8,2.6,50.3,23.3,407,173300005053,0.0,0.0,1.0,0.0,0,01001172022il,il,0
,010011720220003,1742,81.7,6.7,3.5,48.7,23.1,406,173300005053,0.0,0.0,1.0,0.0,0,01001172022il,il,0
,010011720220003,1852,79.9,6.9,3.3,46.1,21.0,425,173300005053,1.0,0.0,0.0,0.5,0,01001172022il,il,1
,010050010260001,184,96.2,0.0,1.1,37.0,30.9,55,172730002893,0.0,0.0,1.0,0.0,0,01005001026il,il,0
,010050010260001,195,95.9,0.0,0.0,42.6,32.6,43,172730002893,0.0,0.0,1.0,0.0,0,01005001026il,il,0
,010050010260001,201,96.0,0.5,1.5,38.8,27.0,37,172730002893,0.0,0.0,1.0,0.0,0,01005001026il,il,0
,010050010260001,216,96.8,0.0,0.0,35.6,32.7,52,172730002893,0.8,0.1,0.1,0.5,0,01005001026il,il,1
,010090150260007,838,38.4,8.9,50.2,78.2,18.6,531,170531000216,0.0,0.0,1.0,0.0,0,01009015026il,il,0
,010090150260007,891,38.6,10.2,49.2,72.4,7.0,114,170531000216,0.0,0.0,1.0,0.0,0,01009015026il,il,0
,010090150260007,896,36.9,10.0,51.7,78.2,8.9,115,170531000216,0.0,0.0,1.0,0.0,0,01009015026il,il,0
,010090150260007,837,32.1,10.8,54.1,70.3,6.7,105,170531000216,0.9,0.1,0.0,0.55,0,01009015026il,il,1
,010090640260003,138,94.9,0.0,4.3,44.2,8.7,90,174041004070,0.0,0.0,1.0,0.0,0,01009064026il,il,0
,010090640260003,135,93.3,0.0,0.0,48.1,26.7,15,174041004070,0.0,0.0,1.0,0.0,0,01009064026il,il,0
,010090640260003,145,92.4,0.0,4.8,50.3,0.0,13,174041004070,0.0,0.0,1.0,0.0,0,01009064026il,il,0
,010090640260003,142,90.8,0.0,0.0,50.0,16.7,18,174041004070,1.0,0.0,0.0,0.5,0,01009064026il,il,1
,010092620260002,137,92.7,2.9,2.9,48.2,11.1,36,170010505357,0.0,0.0,1.0,0.0,0,01009262026il,il,0
,010092620260002,141,95.0,0.0,0.0,46.8,20.0,30,170010505357,0.0,0.0,1.0,0.0,0,01009262026il,il,0
