schoolcode,totalenrolled,white,black,hispanic,lowincome,dropout
010010010260001,226,97.8,0.4,0.4,44.2,0.7
010010010262002,328,94.5,0.3,0,55.2,     
010010020260001,277,98.2,0.7,0.4,20.9,0
010010020262002,316,95.9,0.3,0,24.7,     
010010030260001,241,96.7,0,0,36.9,0.8
010010030261001,277,97.1,0.4,0,47.7,     
010010030262003,204,98.5,0,0,42.2,     
010010030262008,134,97,0,0,44.8,     
010010040260001,228,97.4,0.4,1.3,28.1,0.4
010010040262006,205,94.6,2,2.9,5.4,     
010010040262007,247,97.6,0,1.6,37.7,     
010011720220003,1873,84.6,7.5,2.6,45.4,1.9
010011720221003,1388,79.4,10.7,2.2,59.9,     
010011720222004,355,77.7,8.5,2.3,75.2,     
010011720222006,233,79.4,11.6,2.1,71.2,     
010011720222007,310,80.3,5.5,3.5,48.7,     
010011720222008,191,69.1,19.9,4.2,85.3,     
010011720222009,354,83.1,4.5,2.5,46,     
010011720222016,240,85,3.8,2.5,40.8,     
010011720222017,229,52.8,28.8,3.5,93.4,     
010011720222019,1003,77,11.2,3.6,50,     
010050010260001,184,96.2,0,1.1,37,1.6
010050010261002,222,95.5,0,2.7,100,     
010050010262002,327,96,0.3,2.1,100,     
010090150260007,838,38.4,8.9,50.2,78.2,0.5
010090150262003,524,32.6,11.3,53.6,82.3,     
010090640260003,138,94.9,0,4.3,44.2,1.4
010090640262001,156,94.9,0.6,1.3,53.8,     
010092620260002,137,92.7,2.9,2.9,48.2,2.9
010092620261002,133,99.2,0,0.8,48.1,     
010092620262001,170,91.8,1.2,4.1,52.4,     
010690010260001,151,94,0,0.7,42.4,0
010690010262004,90,97.8,0,0,32.2,     
010690010262005,57,94.7,0,1.8,10.5,     
010690060260001,171,97.1,0.6,0,31,3.5
010690060262002,191,96.3,1,0.5,39.8,     
010690110260001,51,100,0,0,51,0
010690110261001,50,98,0,0,58,     
010690110262003,104,91.3,0,0,63.5,     
010690270260001,146,93.8,0,1.4,32.2,0
010690270262002,208,96.2,0,1.4,29.8,     
010691170220014,1007,82,6.1,2.9,48.1,3.5
010691170221013,515,77.5,6.6,2.3,56.9,     
010691170222001,369,79.9,9.5,3.3,43.4,     
010691170222005,290,63.1,13.4,5.2,70.3,     
010691170222006,292,50,28.1,7.2,88.4,     
010691170222007,342,85.1,4.1,3.2,48,     
010691170222008,225,85.3,5.3,3.1,60,     
010691170222009,166,92.8,1.8,1.2,56.6,     
010750030260002,79,98.7,1.3,0,49.4,3.8
010750030262001,223,97.8,1.3,0,49.8,     
010750040260002,115,97.4,0,0,60,3.5
010750040261002,99,89.9,0,2,56.6,     
010750040262001,176,98.9,0,0.6,63.1,     
010750100260009,316,98.4,0.6,0.3,42.7,2.2
010750100262007,372,99.2,0.3,0,53.2,     
010750100262010,583,97.1,0,1.9,51.3,     
010750120260001,142,95.8,0,1.4,52.1,1.4
010750120261001,179,95.5,0.6,2.8,57.5,     
010750120262001,242,94.6,0,3.3,64,     
010860010260001,185,98.4,0,0,37.3,1.6
010860010262002,447,99.1,0,0.2,51.5,     
010860020260001,58,100,0,0,48.3,0
010860020261001,31,96.8,0,3.2,58.1,     
010860020262001,131,95.4,0,2.3,48.1,     
030030010260001,104,90.4,5.8,1.9,35.6,1.9
030030010261001,97,91.8,3.1,2.1,49.5,     
030030010262001,190,88.4,2.6,2.1,55.3,     
030030020260001,537,89,3.7,2.4,39.1,1.5
030030020261002,298,89.3,1.3,2.3,42.3,     
030030020262003,611,84.5,3.9,3.4,54.8,     
030030020262004,226,95.6,0.9,0,56.6,     
030030020262005,168,94.6,0,3.6,58.9,     
030110010260002,91,100,0,0,13.2,0
030110010261001,43,95.3,0,2.3,39.5,     
030110010262001,206,96.1,0,2.9,40.8,     
030110030260006,778,95,0.5,1.4,44.7,2.6
030110030261005,770,93.4,0.9,1.7,58.3,     
030110030262001,320,91.6,1.3,3.4,61.9,     
030110030262003,562,89.9,1.4,1.8,66.4,     
030110030262005,99,96,1,1,57.6,     
030110040260002,82,97.6,0,0,24.4,0
030110040261001,47,97.9,0,2.1,46.8,     
030110040262001,157,94.3,0.6,1.3,49,     
030110080260006,407,97.5,0,0.5,47.7,0.7
030110080261005,294,95.2,0,1.4,64.6,     
030110080262001,285,96.5,1.1,1.1,68.8,     
030110080262003,318,96.5,1.3,0.9,72,     
030110140240001,163,93.3,0.6,2.5,60.1,1.1
030110140242001,164,93.9,0,1.8,64,     
030250100260001,258,97.7,0.8,0.4,41.1,2.7
030250100262002,443,94.6,0.5,1.4,57.8,     
030250200260001,159,95.6,0,3.8,49.1,3.3
030250200262003,134,96.3,1.5,0.7,43.3,     
030250300260001,173,98.8,0,0,34.1,0.9
030250300262002,315,95.6,0.3,3.5,28.9,     
030250400260001,715,93.8,0.6,3.1,30.6,1.1
030250400261001,594,90.1,0.2,3.4,45.5,     
030250400262002,678,89.4,1.2,3.1,50.4,     
030250400262006,191,91.1,0.5,4.7,61.8,     
030250400262008,323,92,0.3,4.6,56,     
030250500260001,337,99.7,0.3,0,10.1,0
030250500261001,151,98,0,0.7,12.6,     
030250500262002,569,97.7,0.7,0.4,9.3,     
030262010260003,95,92.6,0,3.2,43.2,1.1
030262010261001,41,95.1,0,2.4,63.4,     
030262010262001,236,98.3,0.4,0,51.3,     
030262020260002,124,95.2,0,0.8,41.1,1.6
030262020261001,63,95.2,0,4.8,46,     
030262020262001,270,97.4,0,0.7,55.6,     
030262030260001,423,95.3,0.2,1.2,49.6,1.4
030262030262008,507,91.5,0.4,3.2,64.1,     
030262030262009,535,93.3,0.2,2.1,57,     
030262040260002,232,99.1,0.4,0.4,62.5,2.3
030262040262001,205,96.6,1,1,62,     
030680020260001,145,95.9,1.4,0.7,42.8,1.4
030680020261002,105,95.2,1,2.9,41.9,     
030680020262003,106,96.2,0,2.8,47.2,     
030680020262005,139,97.1,0,1.4,51.8,     
030680030260001,498,94.6,1.6,2.4,43.6,2.2
030680030261002,362,94.5,2.2,1.4,49.7,     
030680030262003,592,95.1,0.7,2.5,53.9,     
030680030262006,242,94.6,0.8,3.7,65.7,     
030680120260001,420,93.3,1,1.9,52.6,1
030680120261002,306,93.8,0.7,2.6,58.5,     
030680120262003,194,97.4,0.5,1,56.7,     
030680120262004,175,94.3,1.7,0.6,62.9,     
030680120262006,227,92.1,2.2,3.1,59.9,     
030680220260001,296,97,0,0.3,43.9,0
030680220262003,328,94.5,0,2.7,49.7,     
040041000260001,1263,49.1,2.8,44.4,52.3,0.6
040041000260002,1505,64.3,3.5,27.4,37.6,0.9
040041000261002,815,51.8,2.1,42.1,59.1,     
040041000261003,1009,63.4,3.8,28.6,40.4,     
040041000262003,365,74,3,18.4,41.9,     
040041000262005,595,43.4,3.5,50.1,59.3,     
040041000262007,298,61.4,6.4,25.5,66.1,     
040041000262008,900,39.7,3.8,50.4,67.8,     
040041000262009,632,48.9,4.6,42.2,59.2,     
040041000262010,670,58.1,2.7,34,42.1,     
040042000260003,524,67.2,1.5,25.8,48.9,0.6
040042000261001,224,67.4,1.3,21.4,42.4,     
040042000262001,208,55.8,0.5,37,37,     
040042000262002,163,66.3,1.8,22.7,24.5,     
040042000262004,276,71,0.7,19.6,22.5,     
040042000262005,249,62.2,1.2,28.1,48.6,     
041011220220002,2093,75.6,4.5,12.1,52.7,1.2
041011220221005,1006,72.7,4.9,14.1,56.9,     
041011220222005,345,71.3,7.2,11,76.8,     
041011220222006,275,73.8,5.5,10.9,79.6,     
041011220222007,326,75.8,5.2,11.7,64.4,     
041011220222008,415,61.9,5.1,21.7,64.8,     
041011220222010,312,82.4,1,7.7,41,     
041011220222011,426,76.1,5.2,9.4,70.9,     
041011220222013,418,79.2,4.3,8.6,56.9,     
041011220222014,343,74.9,6.7,8.7,46.9,     
041011220222015,571,73.9,4.9,11.4,60.1,     
041011310041002,597,83.2,2.2,6.9,23.6,     
041011310042001,388,82.5,2.1,9,23.2,     
041011310042002,402,82.6,2.7,7,16.4,     
041011310042003,356,86.8,1.4,5.6,22.8,     
041011330041001,345,86.4,1.2,5.2,15.4,     
041011330042001,399,88,1.5,4.3,0.8,     
041011340042001,117,93.2,0,0,23.9,     
041011400041001,528,85.6,2.3,7.8,33.7,     
041011400042001,532,84.2,1.1,7.5,28.2,     
041011400042002,472,84.7,2.8,7.2,34.1,     
041012050250001,1859,28.8,42.7,18.8,49,5.2
041012050250002,1990,33.2,23.3,27.6,48.3,7.5
